Date,Amount,Description,Bitch
20180904,$73.34,Star Market,k
20180907,$25.88,Target,l
20180907,$12.33,Whole Foods raping ,l
20180911,$48.63,Star Market,k
20180914,$47.19,Star Market ,l
20180921,$74.11,Star Market ($30 of coffee thats why its so much),k
20180923,$13.46,Star Market,l
20180928,$46.39,Star Market,k
20180930,$37.34,Star Market,k
20181006,$36.34,Star Market,k
20181008,$47.84,Star Market,k
20181008,$28.27,Star Market,l
20181012,$40.47,Star Market,k
20181014,$49.37,Star Market,k
20181019,$52.18,Star Market,l
20181023,$33.37,Star Market,k
20181025,$36.28,Star Market,k
20181102,$37.27,Star Market,l
20181104,$60.68,"Star Market (Kashi is no longer on sale, and trash bags are $10)",k
